date,store_id,product_name,units_sold,revenue,stock_level,promotion,region,day_of_week,month,quarter,year
2023-01-01,S004,Vitamin D,44,782.56,283,False,West,Sunday,1,1,2023
2023-01-02,S005,Vitamin C,140,628.9,467,False,South,Monday,1,1,2023
2023-01-03,S003,Ibuprofen,117,1315.7,172,False,North,Tuesday,1,1,2023
2023-01-04,S005,Aspirin,181,690.34,326,False,West,Wednesday,1,1,2023
2023-01-05,S005,Ibuprofen,188,1278.91,205,False,East,Thursday,1,1,2023
2023-01-06,S002,Aspirin,111,1239.17,62,False,West,Friday,1,1,2023
2023-01-07,S003,Vitamin C,107,1148.71,72,False,North,Saturday,1,1,2023
2023-01-08,S003,Vitamin C,21,791.82,250,True,West,Sunday,1,1,2023
2023-01-09,S003,Vitamin D,28,1119.57,123,False,West,Monday,1,1,2023
2023-01-10,S005,Ibuprofen,110,1213.15,374,False,North,Tuesday,1,1,2023
2023-01-11,S004,Omega-3,53,1114.09,120,False,South,Wednesday,1,1,2023
2023-01-12,S003,Vitamin D,196,916.62,274,False,South,Thursday,1,1,2023
2023-01-13,S005,Ibuprofen,58,78.6,430,True,North,Friday,1,1,2023
2023-01-14,S002,Vitamin D,198,1194.77,499,False,West,Saturday,1,1,2023
2023-01-15,S004,Omega-3,26,378.47,397,True,North,Sunday,1,1,2023
2023-01-16,S002,Paracetamol,83,1303.02,119,False,South,Monday,1,1,2023
2023-01-17,S004,Paracetamol,66,1530.72,421,False,East,Tuesday,1,1,2023
2023-01-18,S005,Paracetamol,64,1025.87,436,True,West,Wednesday,1,1,2023
2023-01-19,S001,Paracetamol,56,1107.61,316,False,South,Thursday,1,1,2023
2023-01-20,S004,Magnesium,21,1905.38,163,True,West,Friday,1,1,2023
2023-01-21,S002,Aspirin,71,1701.98,423,False,North,Saturday,1,1,2023
2023-01-22,S005,Magnesium,89,1832.76,464,False,East,Sunday,1,1,2023
2023-01-23,S004,Magnesium,92,1636.84,285,True,North,Monday,1,1,2023
2023-01-24,S001,Magnesium,17,262.39,264,False,East,Tuesday,1,1,2023
2023-01-25,S001,Paracetamol,158,340.53,319,True,West,Wednesday,1,1,2023
2023-01-26,S003,Omega-3,90,1076.92,160,False,West,Thursday,1,1,2023
2023-01-27,S003,Vitamin C,127,529.84,375,False,North,Friday,1,1,2023
2023-01-28,S002,Vitamin C,34,979.56,307,False,East,Saturday,1,1,2023
2023-01-29,S004,Aspirin,98,819.01,88,True,East,Sunday,1,1,2023
2023-01-30,S004,Paracetamol,21,1121.36,141,False,West,Monday,1,1,2023
2023-01-31,S003,Paracetamol,152,1506.41,202,False,North,Tuesday,1,1,2023
2023-02-01,S004,Paracetamol,68,1445.21,308,False,East,Wednesday,2,1,2023
2023-02-02,S004,Vitamin D,163,1066.41,226,False,West,Thursday,2,1,2023
2023-02-03,S001,Ibuprofen,118,1653.67,488,False,South,Friday,2,1,2023
2023-02-04,S003,Vitamin D,35,890.18,442,False,North,Saturday,2,1,2023
2023-02-05,S005,Ibuprofen,56,1798.59,333,False,South,Sunday,2,1,2023
2023-02-06,S003,Paracetamol,41,189.0,221,False,North,Monday,2,1,2023
2023-02-07,S005,Paracetamol,19,1911.59,40,False,West,Tuesday,2,1,2023
2023-02-08,S001,Vitamin D,25,1326.65,195,False,East,Wednesday,2,1,2023
2023-02-09,S002,Vitamin D,154,791.15,67,True,East,Thursday,2,1,2023
2023-02-10,S004,Ibuprofen,160,434.45,475,False,East,Friday,2,1,2023
2023-02-11,S001,Vitamin C,35,984.41,263,False,North,Saturday,2,1,2023
2023-02-12,S004,Ibuprofen,95,429.39,1,False,West,Sunday,2,1,2023
2023-02-13,S002,Vitamin D,144,374.35,360,False,South,Monday,2,1,2023
2023-02-14,S002,Omega-3,23,1253.84,124,False,West,Tuesday,2,1,2023
2023-02-15,S001,Vitamin D,88,1070.02,109,True,South,Wednesday,2,1,2023
2023-02-16,S002,Omega-3,126,1356.69,85,True,North,Thursday,2,1,2023
2023-02-17,S005,Aspirin,16,1862.73,424,False,North,Friday,2,1,2023
2023-02-18,S002,Vitamin D,146,1087.91,119,False,South,Saturday,2,1,2023
2023-02-19,S004,Aspirin,124,1182.82,126,False,South,Sunday,2,1,2023
2023-02-20,S004,Vitamin C,185,224.77,254,False,South,Monday,2,1,2023
2023-02-21,S004,Ibuprofen,81,1449.39,182,False,West,Tuesday,2,1,2023
2023-02-22,S004,Omega-3,68,829.82,15,False,South,Wednesday,2,1,2023
2023-02-23,S005,Ibuprofen,91,1954.61,476,False,North,Thursday,2,1,2023
2023-02-24,S003,Aspirin,125,1655.19,61,True,North,Friday,2,1,2023
2023-02-25,S001,Omega-3,176,1068.84,368,False,East,Saturday,2,1,2023
2023-02-26,S004,Ibuprofen,155,290.28,431,False,South,Sunday,2,1,2023
2023-02-27,S002,Vitamin D,196,1725.86,157,True,West,Monday,2,1,2023
2023-02-28,S004,Paracetamol,112,1609.57,267,False,West,Tuesday,2,1,2023
2023-03-01,S002,Aspirin,26,409.94,34,False,West,Wednesday,3,1,2023
2023-03-02,S002,Ibuprofen,23,625.79,266,False,East,Thursday,3,1,2023
2023-03-03,S004,Aspirin,168,1597.14,63,False,North,Friday,3,1,2023
2023-03-04,S005,Magnesium,161,411.2,493,False,West,Saturday,3,1,2023
2023-03-05,S002,Aspirin,117,1839.62,49,False,North,Sunday,3,1,2023
2023-03-06,S002,Omega-3,197,877.83,468,False,East,Monday,3,1,2023
2023-03-07,S004,Magnesium,54,219.73,254,False,South,Tuesday,3,1,2023
2023-03-08,S002,Omega-3,107,1640.71,148,True,South,Wednesday,3,1,2023
2023-03-09,S002,Paracetamol,140,778.34,324,False,South,Thursday,3,1,2023
2023-03-10,S004,Magnesium,46,1076.67,303,False,West,Friday,3,1,2023
2023-03-11,S004,Vitamin D,180,268.99,275,False,South,Saturday,3,1,2023
2023-03-12,S001,Aspirin,177,55.04,356,False,West,Sunday,3,1,2023
2023-03-13,S005,Ibuprofen,192,1294.07,450,False,East,Monday,3,1,2023
2023-03-14,S005,Vitamin C,117,1054.59,171,False,East,Tuesday,3,1,2023
2023-03-15,S002,Aspirin,48,1207.4,416,False,West,Wednesday,3,1,2023
2023-03-16,S005,Aspirin,24,1597.8,200,False,North,Thursday,3,1,2023
2023-03-17,S002,Paracetamol,129,1310.88,444,False,South,Friday,3,1,2023
2023-03-18,S001,Vitamin D,13,390.81,392,False,South,Saturday,3,1,2023
2023-03-19,S004,Vitamin C,102,753.51,323,False,South,Sunday,3,1,2023
2023-03-20,S004,Magnesium,162,1816.49,34,False,West,Monday,3,1,2023
2023-03-21,S004,Magnesium,150,1551.39,464,True,East,Tuesday,3,1,2023
2023-03-22,S005,Magnesium,170,1135.44,481,False,South,Wednesday,3,1,2023
2023-03-23,S001,Omega-3,25,548.51,215,False,East,Thursday,3,1,2023
2023-03-24,S005,Omega-3,179,639.02,479,False,South,Friday,3,1,2023
2023-03-25,S005,Ibuprofen,117,1477.32,64,False,South,Saturday,3,1,2023
2023-03-26,S001,Vitamin C,135,1709.79,7,False,West,Sunday,3,1,2023
2023-03-27,S001,Magnesium,64,1359.28,300,False,North,Monday,3,1,2023
2023-03-28,S001,Omega-3,179,1628.58,342,True,West,Tuesday,3,1,2023
2023-03-29,S001,Ibuprofen,43,1544.98,430,False,South,Wednesday,3,1,2023
2023-03-30,S004,Vitamin D,167,341.92,423,False,South,Thursday,3,1,2023
2023-03-31,S003,Ibuprofen,22,876.69,331,False,North,Friday,3,1,2023
2023-04-01,S003,Omega-3,150,348.32,437,True,East,Saturday,4,2,2023
2023-04-02,S001,Paracetamol,27,508.71,75,True,East,Sunday,4,2,2023
2023-04-03,S003,Paracetamol,169,1745.06,173,False,South,Monday,4,2,2023
2023-04-04,S003,Magnesium,105,972.14,46,False,East,Tuesday,4,2,2023
2023-04-05,S001,Paracetamol,132,1093.95,14,False,South,Wednesday,4,2,2023
2023-04-06,S003,Magnesium,48,397.97,360,True,North,Thursday,4,2,2023
2023-04-07,S005,Magnesium,55,658.93,146,False,North,Friday,4,2,2023
2023-04-08,S002,Omega-3,38,498.98,25,False,South,Saturday,4,2,2023
2023-04-09,S002,Paracetamol,199,452.06,307,True,North,Sunday,4,2,2023
2023-04-10,S001,Magnesium,71,1294.02,92,True,West,Monday,4,2,2023
2023-04-11,S004,Vitamin C,194,550.92,405,False,West,Tuesday,4,2,2023
2023-04-12,S001,Vitamin D,25,1282.43,231,False,North,Wednesday,4,2,2023
